OID,date,tmax,tmin,average
0,01-Jan-2011,4.4032001,0.947772,2.67548605
1,02-Jan-2011,3.51809,-0.983439,1.2673255
2,03-Jan-2011,2.69384,-3.1851101,-0.24563505
3,04-Jan-2011,1.6993099,-0.55121,0.57404995
4,05-Jan-2011,-0.13816,-2.1742799,-1.15621995
5,06-Jan-2011,4.93155,-1.7446001,1.59347495
6,07-Jan-2011,6.6710801,0.154581,3.41283055
7,08-Jan-2011,11.9678001,6.43681,9.20230505
8,09-Jan-2011,5.7688298,3.08478,4.4268049
9,10-Jan-2011,3.9665699,-1.25139,1.35758995
10,11-Jan-2011,4.6596398,-1.2572,1.7012199
11,12-Jan-2011,6.6029902,1.9603,4.2816451
12,13-Jan-2011,10.7192001,6.5571299,8.638165
13,14-Jan-2011,11.0970001,9.8401699,10.468585
14,15-Jan-2011,9.86973,7.5067501,8.68824005
15,16-Jan-2011,12.2341003,7.8657198,10.04991005
16,17-Jan-2011,8.9391699,6.91184,7.92550495
17,18-Jan-2011,5.26436,1.60031,3.432335
18,19-Jan-2011,6.16679,1.10174,3.634265
19,20-Jan-2011,3.9509301,0.383657,2.16729355
20,21-Jan-2011,2.2264099,-3.0465801,-0.4100851
21,22-Jan-2011,5.59342,1.33574,3.46458
22,23-Jan-2011,6.1525998,0.79097,3.4717849
23,24-Jan-2011,6.12814,3.3032401,4.71569005
24,25-Jan-2011,5.9779601,4.3741398,5.17604995
25,26-Jan-2011,2.80164,-1.16643,0.817605
26,27-Jan-2011,0.794261,-0.212647,0.290807
27,28-Jan-2011,0.498212,-4.6767602,-2.0892741
28,29-Jan-2011,0.311339,-6.0212998,-2.8549804
29,30-Jan-2011,0.0815218,-6.0383101,-2.97839415
30,31-Jan-2011,-1.67853,-2.9535799,-2.31605495
31,01-Feb-2011,-0.595871,-3.9582701,-2.27707055
32,02-Feb-2011,3.5074,-0.718581,1.3944095
33,03-Feb-2011,7.3568702,3.1558101,5.25634015
34,04-Feb-2011,10.4841995,2.9411099,6.7126547
35,05-Feb-2011,11.7312002,10.1704998,10.95085
36,06-Feb-2011,11.1555004,10.1954002,10.6754503
37,07-Feb-2011,10.9021997,8.1968498,9.54952475
38,08-Feb-2011,8.6803904,2.5253,5.6028452
39,09-Feb-2011,9.4677696,-4.1689801,2.64939475
40,10-Feb-2011,9.81497,2.03597,5.92547
41,11-Feb-2011,7.81991,7.0300498,7.4249799
42,12-Feb-2011,4.9337301,1.73921,3.33647005
43,13-Feb-2011,8.6518898,4.19067,6.4212799
44,14-Feb-2011,8.4153795,3.658,6.03668975
45,15-Feb-2011,7.2444,1.51985,4.382125
46,16-Feb-2011,10.2158003,5.1048298,7.66031505
47,17-Feb-2011,7.3508701,0.279692,3.81528105
48,18-Feb-2011,1.15842,-0.205571,0.4764245
49,19-Feb-2011,2.6835699,0.041731,1.36265045
50,20-Feb-2011,1.27897,-1.28599,-0.00351
51,21-Feb-2011,0.930609,-5.2894301,-2.17941055
52,22-Feb-2011,1.6516,-6.7492399,-2.54881995
53,23-Feb-2011,2.7018399,-3.67522,-0.48669005
54,24-Feb-2011,3.14939,-0.139766,1.504812
55,25-Feb-2011,7.1494799,2.6370399,4.8932599
56,26-Feb-2011,10.0219002,5.78652,7.9042101
57,27-Feb-2011,5.65907,4.9214602,5.2902651
